total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,timing,dw_tag
0.0,51664.0,0.0,948336.0,9811565.0,0.0,0.0,2903.95776,150030073.0,NaN,0.0,0.747159123,149352197.0,149472156.0,0.0,51664.0,0.0,0.0122262863,38596.0,119959.0,8666.0,4395.0,0.0,15.2342834,0.0,0.0,15.2220564,0.0,8666.0,4395.0,0.0,38596.0,0.0,0.0,0.0,pr_web,DDR5_6400AN,0
0.0,62285.0,0.0,948336.0,9997827.0,0.0,0.0,2437.9165,151845624.0,NaN,0.0,0.785599589,151235726.0,151362766.0,0.0,62285.0,0.0,0.0127067612,48913.0,127040.0,8812.0,4537.0,0.0,15.1395664,0.0,0.0,15.1268597,0.0,8812.0,4537.0,0.0,48913.0,0.0,0.0,0.0,pr_web,DDR5_6400AN,1
0.0,98.0,0.0,999902.0,8605223.0,0.0,0.0,1090904.12,106908599.0,NaN,0.0,0.543209851,124330238.0,124331756.0,0.0,98.0,0.0,0.000176404486,44.0,1518.0,16.0,21.0,0.0,14.4484062,0.0,0.0,14.4482298,0.0,16.0,21.0,0.0,44.0,0.0,0.0,0.0,649,DDR5_6400AN,0
0.0,196.0,0.0,999902.0,8608699.0,0.0,0.0,602091.0,118009832.0,NaN,0.0,0.683333337,125307327.0,125309593.0,0.0,196.0,0.0,0.000263222115,123.0,2266.0,26.0,31.0,0.0,14.556159,0.0,0.0,14.5558958,0.0,26.0,31.0,0.0,123.0,0.0,0.0,0.0,649,DDR5_6400AN,1
0.0,18873.0,0.0,981127.0,9939088.0,0.0,0.0,8094.80957,152773341.0,NaN,0.0,0.512857199,152267728.0,152363723.0,0.0,18873.0,0.0,0.00965833105,9673.0,95995.0,6721.0,2467.0,0.0,15.3297491,0.0,0.0,15.3200903,0.0,6721.0,2467.0,0.0,9673.0,0.0,0.0,0.0,bfs_twi,DDR5_6400AN,0
0.0,24790.0,0.0,981127.0,10017344.0,0.0,0.0,6156.03369,152608079.0,NaN,0.0,0.6094715,152084796.0,152192074.0,0.0,24790.0,0.0,0.0107092261,15096.0,107278.0,7146.0,2527.0,0.0,15.1928577,0.0,0.0,15.182148,0.0,7146.0,2527.0,0.0,15096.0,0.0,0.0,0.0,bfs_twi,DDR5_6400AN,1
0.0,241354.0,168.0,758646.0,11331660.0,0.0,0.0,685.220337,165380676.0,NaN,0.0,0.364750981,157088615.0,157296325.0,0.0,241354.0,0.0,0.0183300599,88029.0,207710.0,21137.0,132174.0,0.0,13.8811369,0.0,0.0,13.8628063,0.0,21137.0,132174.0,0.0,88029.0,0.0,0.0,0.0,bc_road,DDR5_6400AN,0
0.0,280775.0,211.0,758646.0,12125958.0,0.0,0.0,626.413452,175881237.0,NaN,0.0,0.430673331,167271117.0,167494948.0,0.0,280775.0,0.0,0.0184588302,120918.0,223831.0,23639.0,136208.0,0.0,13.8129244,0.0,0.0,13.794466,0.0,23639.0,136208.0,0.0,120918.0,0.0,0.0,0.0,bc_road,DDR5_6400AN,1
0.0,27.0,0.0,999973.0,8653967.0,0.0,0.0,1976360.0,53361720.0,NaN,0.0,0.238095239,77617952.0,77618784.0,0.0,27.0,0.0,9.61408805,5.0,832.0,14.0,2.0,0.0,8.96915627,0.0,0.0,8.96905994,0.0,14.0,2.0,0.0,5.0,0.0,0.0,0.0,605,DDR5_6400AN,0
0.0,54.0,0.0,999973.0,8653322.0,0.0,0.0,834107.125,45041783.0,NaN,0.0,0.574999988,99463194.0,99464164.0,0.0,54.0,0.0,0.00011209568,23.0,970.0,16.0,1.0,0.0,11.4943323,0.0,0.0,11.4942207,0.0,16.0,1.0,0.0,23.0,0.0,0.0,0.0,605,DDR5_6400AN,1
