Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Normalized Cost (%)
48,bc_twi,DDR5_1600AN,10,16,36,0.179182,219.88478027867095,0.0503831159369966
48,628,DDR5_1600AN,12,39,45,0.003841,12039.8875,0.0
48,pr_web,DDR5_1600AN,9,25,37,0.051664,880.6728624535316,0.0
48,649,DDR5_1600AN,10,19,24,9.8e-05,490869.5,0.0
48,bfs_twi,DDR5_1600AN,10,19,36,0.018873,2496.211195928753,0.0
48,bc_road,DDR5_1600AN,10,15,36,0.241354,150.87867939538583,0.057962447344019945
48,605,DDR5_1600AN,11,0,0,2.7e-05,0.0,0.0
48,603,DDR5_1600AN,13,146,146,0.017208,2739.5698324022346,0.0
48,bfs_web,DDR5_1600AN,10,49,54,0.011546,3710.1458333333335,0.0
48,638,DDR5_1600AN,10,47,52,0.00223,19247.934782608696,0.0
48,654,DDR5_1600AN,11,31,43,0.026629,1755.8537906137185,0.0
48,644,DDR5_1600AN,13,40,46,0.000445,103674.11111111111,0.0
48,619,DDR5_1600AN,13,13,35,0.072935,609.9400921658986,0.0
48,657,DDR5_3200AN,13,1,1,0.0,0.0,0.0
48,cc_web,DDR5_3200AN,9,19,21,0.075295,589.4968112244898,0.0
48,cc_twi,DDR5_3200AN,10,17,20,0.111238,383.51230038843335,0.0
48,cc_road,DDR5_3200AN,10,25,27,0.107651,397.90767172167705,0.0
48,pr_road,DDR5_3200AN,9,19,21,0.158658,254.54009077155825,0.0
48,648,DDR5_3200AN,12,1,1,0.0,0.0,0.0
48,625,DDR5_3200AN,13,32,34,0.007099,6712.659863945578,0.0
48,bfs_road,DDR5_3200AN,10,19,22,0.196136,196.72662750856583,0.0
48,620,DDR5_3200AN,11,12,18,0.007225,6609.573333333334,0.0
48,bc_web,DDR5_3200AN,12,48,49,0.315143,104.31256664127952,0.0
48,641,DDR5_3200AN,13,0,0,5e-06,0.0,0.0
48,607,DDR5_3200AN,17,144,144,0.003454,13267.830985915492,0.0
48,623,DDR5_3200AN,10,10,16,0.000487,97858.5,0.0
48,pr_twi,DDR5_3200AN,10,22,23,0.04663,981.2729145211123,0.0
48,600,DDR5_3200AN,13,17,19,0.000516,81480.3,0.0
48,621,DDR5_3200AN,10,28,30,0.003612,11901.96,0.0
48,bc_twi,DDR5_3200AN,10,16,19,0.179182,219.88478027867095,0.0
48,628,DDR5_3200AN,12,39,39,0.003841,12039.8875,0.0
48,pr_web,DDR5_3200AN,9,25,27,0.051664,880.6728624535316,0.0
48,649,DDR5_3200AN,10,19,20,9.8e-05,490869.5,0.0
48,bfs_twi,DDR5_3200AN,10,19,21,0.018873,2496.211195928753,0.0
48,bc_road,DDR5_3200AN,10,15,19,0.241354,150.87867939538583,0.0
48,605,DDR5_3200AN,11,0,0,2.7e-05,0.0,0.0
48,603,DDR5_3200AN,13,146,146,0.017208,2739.5698324022346,0.0
48,bfs_web,DDR5_3200AN,10,49,49,0.011546,3710.1458333333335,0.0
48,638,DDR5_3200AN,10,47,47,0.00223,19247.934782608696,0.0
48,654,DDR5_3200AN,11,31,34,0.026629,1755.8537906137185,0.0
48,644,DDR5_3200AN,13,40,40,0.000445,103674.11111111111,0.0
48,619,DDR5_3200AN,13,13,19,0.072935,609.9400921658986,0.0
48,657,DDR5_6400AN,13,1,1,0.0,0.0,0.0
48,cc_web,DDR5_6400AN,9,19,19,0.075295,589.4968112244898,0.0
48,cc_twi,DDR5_6400AN,10,17,17,0.111238,383.51230038843335,0.0
48,cc_road,DDR5_6400AN,10,25,25,0.107651,397.90767172167705,0.0
48,pr_road,DDR5_6400AN,9,19,19,0.158658,254.54009077155825,0.0
48,648,DDR5_6400AN,12,1,1,0.0,0.0,0.0
48,625,DDR5_6400AN,13,32,32,0.007099,6712.659863945578,0.0
48,bfs_road,DDR5_6400AN,10,19,19,0.196136,196.72662750856583,0.0
