total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,slow_timing,folder
0.0,7225.0,0.0,992775.0,8773189.0,0.0,0.0,17429.334,125926941.0,NaN,0.0,0.435495079,125812365.0,125858514.0,0.0,7225.0,0.0,0.00526023097,3136.0,46149.0,3455.0,610.0,0.0,14.3458109,0.0,0.0,14.3405514,0.0,3455.0,610.0,0.0,3136.0,0.0,0.0,0.0,620,DDR5_6400AN,wb_short_trace
0.0,488301.0,1662.0,684857.0,24368274.0,0.0,0.0,723.876404,353469553.0,NaN,0.0,0.871402919,349834028.0,350391267.0,0.0,488301.0,0.0,0.0228673965,425486.0,557239.0,27460.0,35331.0,0.0,14.378994,0.0,0.0,14.3561258,0.0,27460.0,35331.0,0.0,425486.0,0.0,0.0,0.0,bc_web,DDR5_3200AN,modified_doubleW_traces
0.0,488301.0,4799.0,684857.0,17205871.0,0.0,0.0,488.991241,238774914.0,NaN,0.0,0.877079189,235781068.0,236105295.0,0.0,488301.0,0.0,0.0188439731,428269.0,324227.0,22759.0,37262.0,0.0,13.7223673,0.0,0.0,13.7035236,0.0,22759.0,37262.0,0.0,428269.0,0.0,0.0,0.0,bc_web,DDR5_6400AN,modified_doubleW_traces
0.0,315143.0,451.0,684857.0,20498468.0,0.0,0.0,958.336365,302012988.0,NaN,0.0,0.903568745,300325078.0,300743421.0,0.0,315143.0,0.0,0.0204085,284738.0,418343.0,16421.0,13967.0,0.0,14.6715069,0.0,0.0,14.6510992,0.0,16421.0,13967.0,0.0,284738.0,0.0,0.0,0.0,bc_web,DDR5_3200AN,wb_short_trace
0.0,315143.0,2527.0,684857.0,14260964.0,0.0,0.0,643.998413,202951607.0,NaN,0.0,0.909361482,201549594.0,201802819.0,0.0,315143.0,0.0,0.0177565143,286568.0,253225.0,13608.0,14955.0,0.0,14.1507139,0.0,0.0,14.1329575,0.0,13608.0,14955.0,0.0,286568.0,0.0,0.0,0.0,bc_web,DDR5_6400AN,wb_short_trace
0.0,10.0,0.0,999995.0,17050797.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,82733607.0,82734975.0,0.0,10.0,0.0,8.02308568,0.0,1368.0,0.0,0.0,0.0,4.85226488,0.0,0.0,4.8521843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_3200AN,modified_doubleW_traces
0.0,10.0,0.0,999995.0,8524064.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,41352348.0,41353031.0,0.0,10.0,0.0,8.01260976,0.0,683.0,0.0,0.0,0.0,4.85132837,0.0,0.0,4.85124779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_6400AN,modified_doubleW_traces
0.0,5.0,0.0,999995.0,17050797.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,41366759.0,41368127.0,0.0,5.0,0.0,8.02308568,0.0,1368.0,0.0,0.0,0.0,2.42616987,0.0,0.0,2.42608976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_3200AN,wb_short_trace
0.0,5.0,0.0,999995.0,8524064.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,20676158.0,20676841.0,0.0,5.0,0.0,8.01260976,0.0,683.0,0.0,0.0,0.0,2.4257021,0.0,0.0,2.42562199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_6400AN,wb_short_trace
0.0,6908.0,0.0,996546.0,20824094.0,0.0,0.0,45746.1133,316014156.0,NaN,0.0,0.459773451,320565467.0,320614572.0,0.0,6908.0,0.0,0.00235808571,3166.0,49105.0,404.0,3316.0,0.0,15.396327,0.0,0.0,15.3939695,0.0,404.0,3316.0,0.0,3166.0,0.0,0.0,0.0,607,DDR5_3200AN,modified_doubleW_traces
0.0,6908.0,0.0,996546.0,11888934.0,0.0,0.0,26318.6621,181809316.0,NaN,0.0,0.459337801,184267940.0,184303357.0,0.0,6908.0,0.0,0.00297898869,3163.0,35417.0,340.0,3383.0,0.0,15.5020933,0.0,0.0,15.4991131,0.0,340.0,3383.0,0.0,3163.0,0.0,0.0,0.0,607,DDR5_6400AN,modified_doubleW_traces
0.0,3454.0,0.0,996546.0,20337180.0,0.0,0.0,92608.6875,319870399.0,NaN,0.0,0.435755819,323276887.0,323302127.0,0.0,3454.0,0.0,0.00124107674,1499.0,25240.0,222.0,1719.0,0.0,15.8970966,0.0,0.0,15.8958569,0.0,222.0,1719.0,0.0,1499.0,0.0,0.0,0.0,607,DDR5_3200AN,wb_short_trace
0.0,3454.0,0.0,996546.0,11482969.0,0.0,0.0,52312.293,180686662.0,NaN,0.0,0.440988362,182381861.0,182402379.0,0.0,3454.0,0.0,0.00178682012,1517.0,20518.0,216.0,1707.0,0.0,15.8846016,0.0,0.0,15.8828135,0.0,216.0,1707.0,0.0,1517.0,0.0,0.0,0.0,607,DDR5_6400AN,wb_short_trace
0.0,974.0,0.0,999513.0,17171144.0,0.0,0.0,363349.781,353902700.0,NaN,0.0,0.6875,358941229.0,358945630.0,0.0,974.0,0.0,0.000256302097,660.0,4401.0,259.0,41.0,0.0,20.9040031,0.0,0.0,20.9037457,0.0,259.0,41.0,0.0,660.0,0.0,0.0,0.0,623,DDR5_3200AN,modified_doubleW_traces
0.0,974.0,0.0,999513.0,8639907.0,0.0,0.0,182737.641,177986472.0,NaN,0.0,0.753125012,180531509.0,180534969.0,0.0,974.0,0.0,0.000400467281,723.0,3460.0,183.0,54.0,0.0,20.8954773,0.0,0.0,20.8950748,0.0,183.0,54.0,0.0,723.0,0.0,0.0,0.0,623,DDR5_6400AN,modified_doubleW_traces
0.0,487.0,0.0,999513.0,17161222.0,0.0,0.0,679425.562,330880270.0,NaN,0.0,0.529045641,333399329.0,333403354.0,0.0,487.0,0.0,0.000234540406,255.0,4025.0,202.0,25.0,0.0,19.4277172,0.0,0.0,19.4274826,0.0,202.0,25.0,0.0,255.0,0.0,0.0,0.0,623,DDR5_3200AN,wb_short_trace
0.0,487.0,0.0,999513.0,8631384.0,0.0,0.0,341547.719,166333740.0,NaN,0.0,0.646569669,167606074.0,167608258.0,0.0,487.0,0.0,0.000253030099,311.0,2184.0,139.0,31.0,0.0,19.4184685,0.0,0.0,19.4182167,0.0,139.0,31.0,0.0,311.0,0.0,0.0,0.0,623,DDR5_6400AN,wb_short_trace
0.0,66904.0,0.0,953370.0,18457505.0,0.0,0.0,4236.98779,283471439.0,NaN,0.0,0.607365549,281886843.0,282137434.0,0.0,66904.0,0.0,0.0135766463,40620.0,250591.0,15985.0,10274.0,0.0,15.2857847,0.0,0.0,15.2722082,0.0,15985.0,10274.0,0.0,40620.0,0.0,0.0,0.0,pr_twi,DDR5_3200AN,modified_doubleW_traces
0.0,66904.0,0.0,953370.0,10560544.0,0.0,0.0,2388.91943,159828272.0,NaN,0.0,0.652329922,158638915.0,158772368.0,0.0,66904.0,0.0,0.0126369437,43635.0,133453.0,11560.0,11696.0,0.0,15.0344877,0.0,0.0,15.0218506,0.0,11560.0,11696.0,0.0,43635.0,0.0,0.0,0.0,pr_twi,DDR5_6400AN,modified_doubleW_traces
0.0,46630.0,0.0,953370.0,17951848.0,0.0,0.0,5936.52832,276820306.0,NaN,0.0,0.676370919,275940777.0,276164236.0,0.0,46630.0,0.0,0.0124476878,31527.0,223459.0,11278.0,3807.0,0.0,15.3836098,0.0,0.0,15.3711624,0.0,11278.0,3807.0,0.0,31527.0,0.0,0.0,0.0,pr_twi,DDR5_3200AN,wb_short_trace
0.0,46630.0,0.0,953370.0,10183309.0,0.0,0.0,3333.59375,155445471.0,NaN,0.0,0.719528913,154800982.0,154925722.0,0.0,46630.0,0.0,0.0122494567,33543.0,124740.0,8456.0,4619.0,0.0,15.2136917,0.0,0.0,15.2014418,0.0,8456.0,4619.0,0.0,33543.0,0.0,0.0,0.0,pr_twi,DDR5_6400AN,wb_short_trace
0.0,1032.0,0.0,999484.0,17542764.0,0.0,0.0,253031.828,261128843.0,NaN,0.0,0.72647059,262350666.0,262359597.0,0.0,1032.0,0.0,0.000509098812,741.0,8931.0,271.0,8.0,0.0,14.955431,0.0,0.0,14.9549227,0.0,271.0,8.0,0.0,741.0,0.0,0.0,0.0,600,DDR5_3200AN,modified_doubleW_traces
0.0,1032.0,0.0,999484.0,9325287.0,0.0,0.0,133392.266,137660815.0,NaN,0.0,0.755882382,138287957.0,138294176.0,0.0,1032.0,0.0,0.000666896347,771.0,6219.0,238.0,11.0,0.0,14.830018,0.0,0.0,14.8293505,0.0,238.0,11.0,0.0,771.0,0.0,0.0,0.0,600,DDR5_6400AN,modified_doubleW_traces
0.0,516.0,0.0,999484.0,17529328.0,0.0,0.0,551299.375,284470471.0,NaN,0.0,0.626242518,289678524.0,289683654.0,0.0,516.0,0.0,0.000292652403,315.0,5130.0,177.0,11.0,0.0,16.5256557,0.0,0.0,16.5253639,0.0,177.0,11.0,0.0,315.0,0.0,0.0,0.0,600,DDR5_3200AN,wb_short_trace
0.0,516.0,0.0,999484.0,9311783.0,0.0,0.0,299113.75,154342682.0,NaN,0.0,0.638000011,155489678.0,155493737.0,0.0,516.0,0.0,0.000435899332,319.0,4059.0,171.0,10.0,0.0,16.6986008,0.0,0.0,16.698164,0.0,171.0,10.0,0.0,319.0,0.0,0.0,0.0,600,DDR5_6400AN,wb_short_trace
0.0,7224.0,0.0,996388.0,17308218.0,0.0,0.0,32005.4902,231207667.0,NaN,0.0,0.910427094,249168602.0,249193214.0,0.0,7224.0,0.0,0.00142198347,6566.0,24612.0,571.0,75.0,0.0,14.3973932,0.0,0.0,14.3959713,0.0,571.0,75.0,0.0,6566.0,0.0,0.0,0.0,621,DDR5_3200AN,modified_doubleW_traces
0.0,7224.0,0.0,996388.0,8845361.0,0.0,0.0,16254.0186,117419035.0,NaN,0.0,0.933860242,126400603.0,126416430.0,0.0,7224.0,0.0,0.00178929954,6735.0,15827.0,404.0,73.0,0.0,14.2918339,0.0,0.0,14.2900438,0.0,404.0,73.0,0.0,6735.0,0.0,0.0,0.0,621,DDR5_6400AN,modified_doubleW_traces
0.0,3612.0,0.0,996388.0,17220977.0,0.0,0.0,48165.2891,173973024.0,NaN,0.0,0.883055568,193528827.0,193543895.0,0.0,3612.0,0.0,0.000874979421,3179.0,15068.0,380.0,41.0,0.0,11.2388458,0.0,0.0,11.2379713,0.0,380.0,41.0,0.0,3179.0,0.0,0.0,0.0,621,DDR5_3200AN,wb_short_trace
0.0,3612.0,0.0,996388.0,8771790.0,0.0,0.0,24394.0996,88111484.0,NaN,0.0,0.912500024,97890017.0,97899700.0,0.0,3612.0,0.0,0.00110387965,3285.0,9683.0,278.0,37.0,0.0,11.1607437,0.0,0.0,11.1596394,0.0,278.0,37.0,0.0,3285.0,0.0,0.0,0.0,621,DDR5_6400AN,wb_short_trace
0.0,240861.0,106.0,820818.0,19059058.0,0.0,0.0,1186.86121,285868574.0,NaN,0.0,0.360756457,275023831.0,275417698.0,0.0,240861.0,0.0,0.0206656065,86890.0,393867.0,34392.0,119573.0,0.0,14.4507504,0.0,0.0,14.4300861,0.0,34392.0,119573.0,0.0,86890.0,0.0,0.0,0.0,bc_twi,DDR5_3200AN,modified_doubleW_traces
0.0,240861.0,319.0,820818.0,11795855.0,0.0,0.0,719.791748,173369764.0,NaN,0.0,0.384487629,165238340.0,165450057.0,0.0,240861.0,0.0,0.0179484226,92605.0,211717.0,22473.0,125775.0,0.0,14.0261192,0.0,0.0,14.0081692,0.0,22473.0,125775.0,0.0,92605.0,0.0,0.0,0.0,bc_twi,DDR5_6400AN,modified_doubleW_traces
0.0,179182.0,22.0,820818.0,17382904.0,0.0,0.0,1458.99731,261426054.0,NaN,0.0,0.472328573,254900071.0,255213956.0,0.0,179182.0,0.0,0.0180571098,84629.0,313885.0,29174.0,65371.0,0.0,14.6818943,0.0,0.0,14.6638365,0.0,29174.0,65371.0,0.0,84629.0,0.0,0.0,0.0,bc_twi,DDR5_3200AN,wb_short_trace
