config,trace,memory_access_cycles_recorded_core_0,cycles_recorded_core_0,llc_mshr_unavailable,llc_read_misses,llc_read_access,llc_write_misses,llc_write_access,llc_eviction,num_expected_insts,total_num_other_requests,total_num_write_requests,total_num_read_requests,memory_system_cycles,avg_write_latency_0,avg_read_latency_0,read_queue_len_avg_0,write_latency_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,total_rfm_cycles_rank1,total_rfm_cycles_rank0
DDR4_3200W_x8_cfg.yaml,628,1123379.0,8084333.0,24645.0,214923.0,2881882.0,41963.0,2677092.0,54746.0,10000000.0,0.0,1187.0,71130.0,3031625.0,61.9949455,97.9449615,1.50113583,73588.0,436355.0,5002649.0,0.0,1187.0,6966825.0,0.00508407224,59060.0,15413.0,3101.0,10156.0,2901.0,1.65015423,9722.0,58507.0,0.143934354,9722.0,200.0,434.0,4550881.0,553.0,58507.0,2901.0,71130.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,638,166607.0,4714056.0,323.0,10563.0,2671783.0,269.0,1106111.0,0.0,10000000.0,0.0,0.0,2705.0,1767771.0,NaN,94.2421417,0.0886002779,0.0,0.0,164786.0,0.0,0.0,254925.0,0.00461654831,1890.0,8161.0,797.0,18.0,797.0,0.0932168216,18.0,1890.0,0.0,18.0,0.0,0.0,156625.0,0.0,1890.0,797.0,2705.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,644,388883.0,5040199.0,0.0,28357.0,2889827.0,24.0,256393.0,0.0,10000000.0,0.0,0.0,10722.0,1890075.0,NaN,64.6066971,0.212545007,0.0,0.0,409835.0,0.0,0.0,692713.0,0.00429030601,9970.0,8109.0,608.0,144.0,608.0,0.216835305,144.0,9970.0,0.0,144.0,0.0,0.0,401726.0,0.0,9970.0,608.0,10722.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,649,9179.0,4356396.0,0.0,556.0,2446933.0,186.0,1544168.0,0.0,10000000.0,0.0,0.0,284.0,1633649.0,NaN,87.8133774,0.00715882052,0.0,0.0,13445.0,0.0,0.0,24939.0,0.00107122154,149.0,1750.0,88.0,47.0,88.0,0.00823004171,47.0,149.0,0.0,47.0,0.0,0.0,11695.0,0.0,149.0,88.0,284.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,654,3770890.0,11437334.0,6.0,887588.0,2434862.0,202538.0,2047134.0,174857.0,10000000.0,0.0,17928.0,191241.0,4289000.0,68.5905838,71.497406,1.86215758,1229692.0,3048331.0,11061340.0,0.0,17928.0,13673235.0,0.00611214712,177393.0,26215.0,7320.0,24456.0,5755.0,2.57900214,14217.0,171269.0,0.710732341,14217.0,1565.0,10239.0,7986794.0,6124.0,171269.0,5755.0,191241.0,NaN,NaN
DDR4_2666T_x4_cfg.yaml,600,61318.0,4510024.0,254.0,8307.0,2452227.0,511.0,1518325.0,0.0,10000000.0,0.0,0.0,3487.0,1691259.0,NaN,73.141098,0.0783647001,0.0,0.0,135880.0,0.0,0.0,255043.0,0.00197781646,2302.0,3345.0,741.0,444.0,741.0,0.0803425163,444.0,2302.0,0.0,444.0,0.0,0.0,132535.0,0.0,2302.0,741.0,3487.0,NaN,NaN
DDR4_2666T_x4_cfg.yaml,602,2948997.0,8439311.0,108.0,1199848.0,2802947.0,1516.0,52147.0,181510.0,10000000.0,0.0,407.0,197891.0,3164742.0,56.4201469,48.9875679,1.66067624,22963.0,79124.0,5351602.0,0.0,407.0,9694199.0,0.00532934442,191085.0,16866.0,4709.0,2504.0,4660.0,1.69100738,2308.0,190923.0,0.0250017215,2308.0,49.0,196.0,5255612.0,162.0,190923.0,4660.0,197891.0,NaN,NaN
DDR4_2666T_x4_cfg.yaml,605,1340459.0,6816357.0,152786.0,456053.0,2894404.0,2040.0,779294.0,129090.0,10000000.0,0.0,274.0,145474.0,2556134.0,69.7664261,95.4141693,3.05401039,19116.0,106954.0,7929890.0,0.0,274.0,13880281.0,0.00644567143,87316.0,16476.0,6427.0,52005.0,6413.0,3.10229826,51756.0,87305.0,0.0418420956,51756.0,14.0,249.0,7806460.0,11.0,87305.0,6413.0,145474.0,NaN,NaN
DDR4_2666T_x4_cfg.yaml,625,694635.0,5884567.0,1725.0,75870.0,2646817.0,11921.0,1327897.0,21573.0,10000000.0,0.0,965.0,37957.0,2206713.0,61.7295341,88.4908676,0.91701597,59569.0,76240.0,2111816.0,0.0,965.0,3358848.0,0.00543115474,26989.0,11985.0,4057.0,7876.0,3934.0,0.956996202,7264.0,26759.0,0.0345491245,7264.0,123.0,612.0,2023591.0,230.0,26759.0,3934.0,37957.0,NaN,NaN
DDR4_2666T_x4_cfg.yaml,631,238208.0,4542229.0,0.0,14754.0,2446877.0,11353.0,1180453.0,4.0,10000000.0,0.0,1.0,5531.0,1703336.0,72.0,95.8421631,0.157660022,72.0,78.0,277239.0,0.0,1.0,530103.0,0.00505654793,1842.0,8613.0,2529.0,1161.0,2529.0,0.162762374,1160.0,1842.0,4.57924907,1160.0,0.0,1.0,268548.0,0.0,1842.0,2529.0,5531.0,NaN,NaN
